Outcome..1.if.made..0.otherwise.,Team_Score,Opponent_Score
0,91,79
0,0,0
1,92,88
0,93,93
1,64,55
0,65,67
0,93,83
0,36,49
1,56,52
0,92,95
0,52,40
1,3,0
0,63,42
1,76,51
1,21,8
0,68,67
0,66,60
0,16,9
1,77,80
0,85,61
0,73,68
1,11,9
1,97,101
1,5,4
0,88,98
1,71,91
0,65,61
1,79,83
0,56,47
0,42,34
0,4,2
0,73,79
0,36,46
0,40,47
0,77,71
0,29,26
0,88,65
0,98,91
1,97,99
0,43,69
0,81,77
0,68,47
1,96,94
0,91,106
0,50,36
1,30,25
1,76,86
1,109,112
1,5,4
0,7,10
0,52,57
0,90,88
1,3,0
0,81,86
1,67,61
1,84,50
1,25,9
1,87,77
1,57,51
0,11,8
1,33,22
0,74,80
1,15,11
1,7,9
0,64,67
0,104,108
0,75,51
0,32,32
1,44,29
0,57,59
1,7,2
1,10,10
0,18,30
1,49,56
1,87,87
1,5,3
1,44,43
0,10,6
0,0,0
0,70,77
0,11,10
0,70,77
1,5,4
0,9,6
1,22,18
1,14,10
0,4,11
1,61,60
0,9,14
0,37,39
0,2,5
0,14,14
1,49,33
0,55,49
0,4,0
0,15,10
0,20,24
0,4,1
0,29,19
0,75,54
1,52,42
1,63,69
0,2,2
0,51,66
0,72,92
1,80,96
0,26,36
0,12,14
0,44,40
0,14,20
0,58,65
0,69,57
0,60,50
1,82,51
0,50,54
1,61,77
0,61,50
1,92,77
1,24,14
0,50,51
1,43,42
0,0,0
1,8,2
1,51,47
0,32,33
1,91,66
0,87,95
0,95,108
0,4,6
1,57,46
0,10,9
0,14,12
0,106,110
0,88,79
0,46,30
0,6,7
0,23,22
0,34,20
0,110,113
0,95,113
0,28,28
1,16,11
0,0,0
0,53,66
0,10,6
0,57,55
1,15,11
0,43,57
0,50,55
0,92,81
1,3,0
1,50,40
1,53,40
0,0,9
1,23,22
0,9,15
1,50,52
0,53,53
0,47,51
0,0,0
0,117,122
0,0,2
0,47,30
0,68,68
1,64,52
0,0,7
0,6,12
1,9,12
0,39,44
0,41,48
0,93,97
0,39,60
0,35,33
0,57,43
0,15,29
1,31,31
1,61,64
0,78,90
0,89,97
1,27,29
0,50,50
0,61,66
0,67,71
1,80,82
1,83,82
0,18,16
0,49,48
1,52,50
0,0,0
0,4,2
1,47,45
0,47,45
1,59,55
0,82,76
1,101,108
0,7,20
0,59,67
0,78,88
1,5,2
0,21,17
1,36,59
0,52,52
1,62,58
0,87,89
0,29,26
1,45,33
0,65,48
0,36,39
1,30,19
1,35,39
0,88,86
0,90,96
1,14,9
0,14,9
0,62,57
1,28,18
0,35,20
1,100,80
1,20,15
0,68,47
0,76,54
1,62,62
1,29,23
1,58,50
0,61,52
1,105,96
0,8,4
1,54,48
1,11,10
0,44,58
0,52,67
1,92,82
0,23,15
0,57,31
0,61,34
0,22,16
0,42,33
1,33,23
0,47,43
0,54,54
0,43,33
0,50,69
0,72,85
1,75,87
0,90,104
1,102,106
1,64,34
0,61,59
1,69,63
0,98,105
1,115,119
1,45,41
0,16,20
0,73,62
1,78,66
0,78,66
0,17,20
1,53,41
1,56,43
0,64,52
1,7,8
1,14,16
1,19,18
1,67,45
0,87,64
0,82,75
0,12,15
0,36,39
1,41,41
1,94,89
0,13,10
0,29,23
0,27,31
0,4,4
0,52,50
0,96,99
0,29,22
0,79,75
1,25,10
0,27,14
1,83,55
1,7,0
1,53,44
0,6,10
1,53,46
0,56,54
1,72,66
0,78,83
0,11,4
1,43,46
0,29,32
1,92,94
1,3,4
1,84,97
0,12,16
1,53,59
1,86,82
1,93,82
0,27,25
1,48,45
1,66,53
0,68,61
1,89,79
0,11,4
0,98,81
1,3,2
1,35,21
1,78,74
1,3,2
0,64,87
0,83,95
0,4,9
1,11,13
0,45,57
0,70,81
1,11,6
0,13,8
0,58,57
0,97,99
1,95,84
0,59,56
0,85,79
1,92,80
1,12,11
1,36,33
1,47,44
0,61,64
1,68,73
1,73,81
1,78,81
1,87,90
1,40,34
0,52,46
0,74,65
0,90,77
0,30,23
0,102,108
1,71,66
1,58,63
1,52,50
0,68,64
0,6,11
1,61,44
0,2,2
1,27,23
0,82,88
1,91,90
0,11,4
1,36,29
0,36,31
0,33,30
0,62,62
0,27,29
0,2,2
0,76,77
0,4,2
0,4,2
1,92,90
