Outcome..1.if.made..0.otherwise.,Team_Score,Opponent_Score
0,86,86
0,71,81
0,71,72
1,86,95
0,72,72
0,86,66
0,23,24
0,50,55
0,69,74
0,87,95
1,89,80
0,38,34
0,95,99
0,45,46
0,86,100
0,38,35
1,104,107
1,87,92
0,90,106
0,71,85
0,58,55
1,3,0
1,94,103
0,97,78
0,50,56
0,81,88
1,49,51
1,3,0
1,60,58
0,62,60
0,2,2
0,99,105
0,27,40
0,0,0
0,13,11
0,10,6
0,73,81
0,6,7
0,9,11
1,9,10
0,7,7
1,64,60
0,2,4
1,73,66
1,19,13
0,2,7
1,51,73
0,56,82
0,73,84
0,6,15
0,40,16
0,0,0
1,18,14
0,46,35
1,8,0
1,58,73
1,26,24
0,18,19
1,37,23
0,6,11
0,8,4
1,63,49
1,5,3
0,0,0
1,68,60
0,30,31
0,25,32
0,5,2
1,67,49
0,61,81
1,63,69
0,2,3
0,77,62
0,54,55
1,14,18
0,42,72
0,33,36
1,48,53
1,15,9
1,7,3
0,2,0
0,58,70
0,31,31
1,19,9
0,50,56
1,51,53
0,42,31
0,12,17
1,3,3
1,3,0
0,106,94
0,10,7
0,46,41
0,92,83
0,86,69
1,5,2
0,9,10
1,5,6
0,46,57
0,68,57
0,66,86
1,39,45
0,44,19
0,56,59
0,0,0
0,5,9
1,47,43
1,7,3
0,61,58
1,93,86
0,10,11
0,29,27
0,85,98
0,36,41
1,3,6
0,17,22
0,65,70
1,15,10
0,100,83
0,96,102
1,51,36
0,49,40
1,34,13
0,69,65
0,83,76
0,71,72
1,80,66
0,20,20
0,4,2
0,79,73
0,7,3
0,6,13
1,89,101
0,26,32
0,7,6
0,30,39
0,93,91
0,8,7
0,44,41
0,78,81
1,56,50
0,56,52
1,22,18
0,49,50
0,13,8
1,9,3
0,15,12
1,37,16
0,98,79
0,104,81
1,96,73
0,91,82
0,18,14
0,68,73
0,0,0
1,20,17
1,50,40
0,49,52
1,20,17
0,49,52
1,41,51
0,2,4
1,35,41
0,35,46
0,32,16
0,12,5
1,89,75
1,18,19
0,26,23
0,37,50
0,95,99
1,12,2
1,56,67
1,69,56
1,41,54
1,88,83
0,73,79
0,77,92
0,22,32
0,51,61
0,64,71
0,66,75
1,13,11
0,33,33
0,7,3
0,55,55
0,79,77
0,14,28
1,78,88
0,88,103
0,88,103
0,2,7
0,45,43
0,50,51
1,53,53
1,60,63
1,90,74
0,63,65
1,108,98
0,34,53
0,71,53
0,65,57
1,7,14
1,26,31
0,82,74
1,91,95
0,59,62
1,16,20
0,72,77
0,29,27
0,75,76
0,71,84
1,71,91
1,30,18
1,10,6
0,39,37
1,71,62
1,81,75
0,90,91
0,47,62
0,100,104
1,8,4
1,86,75
1,68,72
0,14,10
1,86,67
1,22,18
1,55,66
0,80,88
0,89,94
0,77,78
0,67,68
0,0,7
0,7,15
0,51,49
1,82,75
1,63,55
0,2,9
1,19,12
1,55,47
1,12,17
0,70,75
1,88,86
0,75,76
0,28,22
0,0,4
0,58,55
1,96,104
0,76,76
0,20,18
1,27,20
1,19,10
0,94,101
1,69,73
0,36,42
0,2,6
0,76,52
0,81,59
0,3,11
1,55,43
1,85,85
0,31,49
0,14,11
1,106,108
1,42,35
0,3,2
0,30,29
0,66,74
0,3,4
0,55,72
0,15,16
1,89,99
0,47,52
0,61,71
0,79,93
1,5,2
0,70,64
1,10,1
1,50,44
0,65,62
0,40,54
1,79,83
0,90,94
1,72,82
0,72,82
0,61,67
0,97,105
0,90,101
0,100,111
1,46,36
1,58,43
0,94,79
0,76,75
0,7,12
1,76,71
1,52,51
0,77,75
0,14,26
0,74,65
0,32,34
1,45,41
0,24,31
1,80,57
0,72,73
1,23,11
1,47,21
0,43,60
1,64,85
1,15,14
1,60,52
1,7,4
1,48,34
0,55,66
0,64,70
0,7,9
0,36,38
0,19,8
1,41,34
0,100,92
0,44,45
1,77,72
0,91,95
0,78,73
1,93,80
1,21,20
1,93,83
1,3,4
0,99,95
0,77,81
0,57,53
0,90,90
1,17,10
0,38,39
1,91,98
0,97,108
0,21,18
1,26,15
1,76,81
0,42,60
0,22,30
0,44,35
0,48,46
1,54,53
0,6,10
0,26,30
1,79,83
0,59,54
0,69,78
1,98,82
0,48,48
0,0,3
0,48,57
0,53,35
0,84,64
1,96,75
1,9,10
1,72,74
0,72,73
0,65,63
0,3,4
1,13,11
0,19,21
1,61,62
0,2,0
0,50,52
1,56,53
0,57,60
0,62,72
1,65,72
1,54,50
1,67,73
0,43,54
0,57,65
0,40,50
1,77,98
1,45,58
0,48,53
0,68,71
0,11,16
1,41,49
1,63,73
0,85,97
1,73,75
0,73,77
0,98,90
0,14,21
0,89,104
0,35,39
0,86,88
1,64,55
0,52,59
0,22,16
1,20,21
0,4,7
0,99,109
1,9,11
0,19,20
1,82,79
1,47,61
0,63,60
0,60,50
0,94,89
1,109,103
1,47,41
0,102,95
0,54,43
1,61,48
0,72,73
0,86,87
0,35,35
0,90,111
0,26,24
0,96,102
1,52,23
1,67,46
0,57,43
0,68,81
0,89,86
0,52,76
0,61,63
0,8,24
1,50,70
0,50,72
1,26,28
1,76,83
1,83,93
0,35,25
0,116,119
0,58,73
1,69,79
0,73,85
1,15,11
0,113,121
1,126,124
1,131,128
0,82,88
0,62,52
0,104,94
0,13,20
0,42,55
0,77,90
1,3,0
1,13,7
1,30,25
0,99,91
0,4,4
1,46,53
1,41,47
0,67,74
1,94,99
0,4,2
0,42,41
0,84,91
0,91,93
1,47,27
0,4,0
1,79,71
1,88,73
1,75,79
0,85,95
1,66,55
1,45,30
1,63,46
1,80,61
1,52,57
0,102,110
1,105,110
0,16,6
0,106,108
0,56,65
0,112,115
0,38,30
1,47,42
1,59,47
1,85,86
0,12,9
0,7,8
0,82,80
0,65,76
0,26,33
0,90,105
1,67,59
1,102,92
1,17,7
0,27,20
0,37,31
0,5,10
0,19,15
0,79,85
1,90,92
