Outcome..1.if.made..0.otherwise.,Team_Score,Opponent_Score
1,4,0
0,84,66
0,19,18
0,6,12
0,44,49
0,38,60
0,55,72
1,13,15
1,24,29
0,23,14
0,2,2
1,8,6
0,41,36
0,51,43
0,71,96
0,78,87
1,73,90
0,19,27
0,19,18
1,48,40
0,73,65
1,79,95
0,15,22
1,59,45
0,15,9
0,18,14
0,44,44
1,20,19
0,20,21
1,26,23
1,24,22
0,68,68
0,74,70
0,58,62
1,49,53
0,87,90
0,56,66
1,57,43
0,28,29
0,28,36
1,32,38
0,9,17
1,63,84
0,5,0
0,5,0
1,77,51
0,77,51
0,16,31
0,63,62
0,0,2
0,31,31
0,53,57
0,90,84
1,2,4
1,29,37
0,29,40
1,40,47
0,42,51
0,50,46
0,32,37
1,4,2
1,39,51
0,39,55
0,59,68
0,95,102
0,0,2
0,4,7
1,39,50
1,69,80
0,81,75
0,81,75
0,27,36
1,99,92
0,41,35
0,41,35
1,79,65
1,58,59
0,0,0
1,59,75
0,41,18
0,50,32
0,4,6
0,0,0
0,10,5
1,56,49
1,42,40
1,53,62
1,2,2
1,36,42
0,72,86
0,80,90
0,15,19
1,5,5
0,31,24
0,45,46
0,57,57
1,65,61
1,93,87
1,104,94
1,63,57
1,66,59
0,92,95
1,109,112
0,51,56
0,68,70
0,97,94
1,5,2
0,40,33
1,92,86
1,54,48
0,54,48
1,2,0
1,2,0
1,44,49
1,22,12
1,2,0
0,2,2
0,57,46
0,0,0
0,71,47
0,6,6
1,12,13
0,77,83
1,99,97
0,40,26
0,51,39
1,56,43
0,78,63
0,58,62
1,2,0
0,4,8
0,14,13
0,16,17
0,16,17
0,18,39
0,26,43
0,84,94
1,6,5
0,6,11
0,8,13
0,12,17
0,65,65
0,12,6
1,63,73
1,70,77
0,33,32
1,54,56
0,6,11
0,0,0
1,57,46
0,53,50
1,71,64
1,73,66
0,37,29
0,64,55
0,5,5
1,22,37
0,26,48
0,27,50
0,2,1
0,10,10
1,40,36
0,43,44
1,49,52
0,53,58
0,62,73
0,39,40
0,39,40
0,61,61
1,4,0
0,8,8
0,0,2
1,80,91
1,2,0
0,56,56
1,45,42
0,64,59
0,45,41
1,79,76
1,62,59
0,96,95
1,100,97
1,8,9
0,12,17
1,2,0
1,7,12
1,103,101
0,30,24
1,38,31
0,61,59
0,52,66
0,14,15
1,52,51
0,79,69
0,4,2
0,11,16
0,69,74
1,27,22
0,92,85
0,103,97
1,7,5
1,19,9
1,26,26
1,4,4
1,4,4
0,50,46
1,64,62
0,68,67
0,39,37
0,53,54
1,55,58
1,41,50
1,52,55
1,61,61
0,74,83
0,0,2
0,63,72
1,43,40
1,60,47
1,79,71
1,12,16
1,16,22
1,51,57
0,51,57
0,53,61
1,47,36
0,87,80
1,11,13
0,24,36
0,0,0
1,55,47
0,74,68
1,2,0
0,4,7
1,6,7
0,6,7
0,78,90
1,44,39
1,60,53
0,83,73
0,0,1
1,58,60
0,68,70
0,0,0
0,59,56
0,62,61
1,9,8
0,29,33
0,49,51
0,0,0
0,41,22
0,84,48
0,26,21
1,48,44
0,8,10
1,30,35
0,42,37
0,53,59
0,77,81
1,21,6
0,56,40
1,95,82
1,2,2
0,58,52
1,62,56
0,5,0
1,15,15
1,50,48
1,92,88
0,28,40
0,71,66
0,13,16
0,58,63
1,97,89
1,10,10
0,10,10
1,70,84
0,32,32
0,74,75
0,83,82
0,66,51
0,73,53
1,20,22
1,28,26
1,61,68
0,61,70
0,122,119
1,44,43
1,56,58
0,75,81
0,7,10
0,12,19
1,43,34
0,47,49
0,81,80
0,58,56
1,8,2
0,0,0
1,8,11
0,20,29
0,64,68
1,44,41
0,99,94
0,59,52
0,13,26
0,2,0
1,16,18
1,8,2
1,51,42
1,57,46
1,2,0
0,2,2
0,2,2
1,24,22
0,36,26
1,21,18
0,25,21
0,49,43
0,0,0
1,6,6
1,48,62
0,50,66
1,83,81
0,87,83
0,31,37
0,45,59
0,45,59
1,9,10
0,14,19
1,66,81
0,38,29
0,15,13
1,100,82
0,11,15
1,33,41
0,48,59
0,54,65
1,56,67
1,24,20
0,28,24
0,60,57
0,11,9
0,17,23
1,4,4
0,58,30
0,60,34
1,69,44
1,74,48
0,96,68
0,27,40
0,27,40
0,31,47
0,47,62
0,73,83
0,88,92
0,47,51
1,54,60
0,13,9
1,17,12
1,64,37
0,2,6
0,2,11
1,6,6
0,24,20
0,89,73
1,6,8
0,62,67
1,11,12
0,47,54
0,71,77
0,2,2
1,49,54
1,51,54
1,2,0
0,21,8
0,64,52
0,0,2
0,0,2
0,16,22
0,77,67
0,82,72
0,12,14
1,28,31
1,95,77
1,28,20
0,44,34
0,59,42
1,43,33
1,50,57
0,60,69
0,7,3
0,11,13
0,48,60
1,55,66
0,86,91
1,4,0
0,6,9
1,52,58
1,56,61
0,0,2
0,5,6
0,7,10
1,11,12
0,35,44
1,45,46
1,49,51
0,54,53
0,54,57
0,96,90
0,6,13
0,6,15
0,27,40
1,44,54
1,13,6
0,0,0
0,23,15
1,31,26
1,64,62
0,64,66
0,79,71
1,13,9
0,56,74
1,4,5
1,80,62
0,80,69
0,6,0
1,41,39
1,45,42
0,53,52
0,38,44
0,0,0
1,6,5
1,19,11
1,39,34
0,39,36
0,64,58
0,53,42
0,0,0
1,78,57
1,4,5
0,83,72
1,4,5
0,64,54
0,8,6
0,39,33
1,52,40
0,61,48
0,2,2
0,53,43
1,4,2
1,11,8
0,16,16
0,32,20
0,46,38
1,59,49
0,64,55
0,67,58
1,19,14
0,38,32
1,44,38
0,44,38
0,59,46
0,52,60
0,54,62
1,68,74
1,19,8
1,10,12
0,15,16
0,4,2
1,38,33
1,40,33
0,54,54
0,15,11
0,41,63
0,55,73
1,2,4
0,7,22
0,50,63
0,2,0
1,8,7
0,70,69
1,78,77
0,80,79
0,82,81
0,0,0
0,27,28
0,47,57
1,67,80
1,83,78
0,7,12
0,64,62
0,44,39
0,15,8
0,25,25
0,77,81
1,4,0
0,17,13
1,2,0
1,18,12
0,19,17
1,27,29
0,50,45
1,10,8
0,19,12
1,67,58
1,85,80
1,2,2
1,4,3
0,58,56
1,74,67
0,81,71
0,0,0
0,2,4
1,18,10
1,25,12
1,68,46
0,33,26
0,0,0
1,4,3
1,29,32
0,36,41
0,83,83
1,32,24
1,83,79
0,9,10
1,64,69
1,56,38
0,56,44
0,0,2
0,49,47
0,96,88
0,0,10
0,2,21
0,16,37
1,54,68
0,57,70
0,47,49
0,47,51
0,12,5
0,63,72
0,0,2
0,34,39
1,53,53
1,66,68
1,52,57
0,53,61
0,2,8
0,5,15
1,51,51
1,6,0
1,12,7
0,18,10
1,52,39
0,62,44
1,74,53
1,92,76
0,48,67
0,64,73
0,2,4
0,55,39
0,83,79
0,86,85
1,58,39
0,0,0
0,0,2
0,7,13
1,43,46
1,45,48
1,53,52
1,55,54
0,63,60
0,95,92
1,6,5
1,8,5
0,15,11
1,46,33
0,52,37
0,0,0
0,87,76
1,2,0
1,4,3
1,50,41
1,55,43
0,55,43
0,57,43
0,0,0
0,100,109
1,2,0
1,6,2
1,12,2
0,8,9
0,35,34
0,35,36
0,108,105
1,69,51
1,72,51
0,15,17
0,35,30
0,93,89
0,29,22
0,49,41
