Outcome..1.if.made..0.otherwise.,Team_Score,Opponent_Score
0,79,96
0,105,91
0,35,56
0,79,101
1,40,38
0,79,76
0,34,35
0,72,74
1,78,80
0,46,59
1,52,50
0,8,17
0,59,67
0,33,27
0,90,85
0,55,71
0,51,62
0,102,116
0,15,10
0,86,87
0,0,2
1,64,59
0,10,14
1,25,22
0,87,76
1,46,43
0,50,55
0,62,73
0,112,116
0,11,18
0,66,62
1,43,42
0,91,92
0,81,92
0,104,120
1,33,37
0,77,90
1,33,46
1,56,70
0,58,70
0,81,84
1,89,89
1,100,105
0,100,107
0,77,90
0,103,110
0,0,2
1,11,13
0,101,109
0,21,32
0,79,85
0,82,85
1,13,16
0,22,19
0,38,37
0,88,88
1,5,8
0,49,60
0,46,44
1,107,105
0,113,119
1,21,28
0,22,32
0,51,70
0,91,96
1,23,24
1,56,49
1,18,7
0,52,51
0,5,6
0,19,20
0,28,28
0,95,93
1,49,48
1,68,76
0,22,14
0,4,6
1,59,81
0,60,62
1,70,72
1,7,2
0,31,23
1,65,79
0,88,91
0,73,82
0,61,60
0,78,58
1,58,71
0,100,89
0,20,10
0,51,61
0,75,88
0,75,88
0,47,66
0,11,14
1,86,70
1,3,2
0,9,7
1,33,20
1,82,65
0,9,7
1,63,59
1,36,39
0,47,52
1,50,55
0,9,11
1,22,27
1,64,63
1,37,33
0,55,50
0,6,6
0,46,44
0,51,61
0,8,12
0,14,23
0,53,51
0,74,75
0,102,113
0,38,35
1,101,99
0,59,62
0,70,74
0,77,80
1,88,76
1,101,79
0,52,58
0,89,93
0,23,22
0,61,51
1,37,30
0,82,66
0,95,79
1,29,26
0,102,109
0,113,118
0,28,30
0,56,57
0,79,89
0,83,98
0,22,16
0,15,12
1,9,6
0,11,12
0,80,90
0,94,103
0,10,2
1,49,46
0,4,4
0,33,35
0,60,60
0,95,97
1,3,0
0,12,14
1,25,21
0,49,51
0,49,51
0,62,64
0,10,16
0,66,56
1,13,12
0,36,35
1,55,69
0,76,94
0,84,102
0,10,8
0,10,14
0,33,46
1,40,55
0,16,27
1,56,61
0,61,63
0,3,4
0,53,52
1,48,42
1,92,95
0,94,100
0,0,0
1,43,58
0,43,58
0,2,4
1,81,71
0,99,103
0,43,34
1,65,54
0,87,69
0,73,100
1,49,72
0,49,77
0,19,22
1,77,69
0,87,96
0,39,46
0,64,91
1,78,96
0,0,0
0,40,44
0,30,34
1,69,80
0,4,4
1,7,4
1,23,17
1,26,21
1,102,100
0,11,16
0,57,47
1,78,83
1,11,13
0,2,0
0,39,46
1,65,83
0,76,88
1,22,14
1,36,43
0,15,13
0,92,84
0,5,9
0,5,9
1,31,30
1,48,48
0,65,57
0,18,6
0,42,39
0,75,66
0,76,72
0,11,13
0,81,88
0,49,56
0,95,101
0,23,22
1,36,28
1,5,0
0,33,43
0,41,54
0,4,9
0,24,26
0,43,52
1,101,94
1,108,99
0,2,3
0,3,5
1,57,43
0,65,59
1,76,75
0,42,33
0,44,39
1,47,41
1,22,23
0,27,29
0,62,77
0,8,11
1,37,41
0,92,96
1,19,24
1,25,26
1,44,56
0,45,45
0,71,73
0,67,92
0,9,9
1,18,11
1,65,62
0,75,84
0,10,6
0,27,24
0,40,37
1,57,52
0,28,29
0,16,11
0,28,28
1,51,39
0,28,32
1,61,71
0,86,95
1,99,104
0,105,111
0,64,71
0,101,101
0,17,19
1,14,12
0,52,64
0,57,50
0,81,79
0,39,42
0,39,43
1,76,85
0,0,2
0,13,10
0,43,52
0,55,63
1,80,87
1,85,89
0,92,100
0,93,102
0,12,15
0,26,36
0,54,69
0,34,25
1,75,67
0,96,101
1,15,6
1,65,65
0,76,72
1,49,37
0,64,50
0,88,78
0,45,45
0,79,78
1,92,91
1,10,6
1,47,43
1,27,17
0,31,21
0,62,63
0,70,75
0,72,77
0,90,95
0,5,0
0,5,2
0,45,38
0,59,61
0,40,61
0,44,68
1,35,56
0,37,66
1,58,81
1,65,89
1,107,123
0,107,93
0,11,13
1,46,46
0,13,26
0,29,38
0,9,8
0,58,52
1,82,83
0,57,55
0,79,87
0,21,22
1,79,79
1,5,0
0,23,15
0,85,92
0,11,8
1,43,29
1,24,12
1,96,75
0,52,48
1,81,85
1,66,60
0,14,9
0,22,17
0,93,91
0,16,18
1,34,37
0,49,60
0,17,19
1,28,32
0,41,50
0,11,8
0,27,29
0,63,73
0,70,85
