Outcome..1.if.made..0.otherwise.,Team_Score,Opponent_Score
1,115,83
0,64,69
0,99,108
0,53,61
0,92,107
1,85,107
0,58,54
1,57,57
0,42,57
0,94,116
0,39,50
1,15,10
1,60,70
0,88,108
1,90,105
0,27,37
1,27,19
0,29,23
1,40,31
1,81,84
1,99,98
0,53,61
1,54,53
1,73,72
0,62,45
1,3,4
0,46,46
0,88,98
0,77,85
0,94,99
1,25,32
1,30,37
0,67,78
0,49,57
0,24,24
1,104,109
0,71,83
0,71,86
0,91,104
0,67,70
1,68,49
1,50,58
0,58,53
0,40,41
1,69,72
0,72,82
0,31,38
1,3,0
0,11,4
0,16,10
1,44,57
0,95,109
1,3,2
0,27,33
0,51,65
0,34,53
0,46,62
0,14,23
0,69,72
0,84,85
0,91,104
0,63,49
0,86,82
0,27,16
0,95,98
1,15,11
0,21,23
0,104,112
0,44,46
0,17,20
0,52,46
0,17,18
0,50,51
1,81,83
1,90,94
1,102,110
1,107,114
1,94,96
1,29,24
0,106,100
0,28,26
0,33,34
0,75,90
0,110,120
0,2,9
0,53,82
1,64,88
1,103,98
0,60,42
0,23,14
0,58,49
0,86,98
0,14,6
0,77,84
0,114,116
0,21,20
1,30,25
0,80,94
1,57,64
0,61,68
1,70,72
0,78,70
1,18,20
1,16,13
0,36,33
0,67,70
1,80,80
0,14,20
1,54,66
0,58,68
0,74,85
1,25,17
1,72,57
0,19,11
1,49,38
0,59,43
0,61,43
0,96,78
0,22,19
0,51,23
0,53,25
1,25,19
0,76,75
0,80,86
0,94,100
1,32,31
1,60,51
0,99,100
0,41,52
1,54,48
1,60,49
0,75,70
1,34,31
1,3,2
0,5,17
0,45,54
1,36,57
0,2,12
0,14,21
0,53,67
0,24,20
0,54,48
0,43,32
1,93,71
0,65,91
0,51,54
1,9,15
0,34,47
0,49,52
1,59,60
0,81,73
1,48,53
1,58,61
0,71,69
1,58,68
0,33,32
0,86,72
0,58,53
0,68,66
1,37,45
1,39,35
1,68,83
1,46,54
0,79,94
0,58,49
0,26,19
1,15,10
1,55,58
1,65,64
0,84,75
0,18,15
1,73,62
0,33,27
1,73,63
0,2,2
0,48,48
0,2,2
0,27,39
1,86,91
1,11,10
0,96,98
1,94,90
0,105,112
0,15,15
1,18,15
0,43,41
1,79,77
1,83,80
1,59,58
0,26,37
1,9,10
0,14,12
0,57,60
0,86,85
0,6,6
1,68,69
0,55,40
0,34,31
1,82,87
0,4,2
0,10,13
1,62,61
0,64,69
1,48,39
1,36,15
0,64,37
1,11,12
0,44,51
1,59,61
0,82,91
0,100,106
1,103,108
0,23,16
0,42,45
1,69,75
0,71,78
0,89,95
1,17,16
0,27,37
0,40,52
1,38,36
0,45,43
0,30,28
0,34,33
0,83,79
1,7,4
1,64,84
1,71,61
1,21,20
1,54,37
0,20,18
0,6,6
0,36,21
0,74,62
0,16,11
1,52,50
0,54,55
1,111,114
0,49,47
0,80,69
1,24,15
0,58,51
0,9,7
1,31,30
1,59,59
0,18,28
0,62,86
1,102,120
0,51,27
0,68,45
0,3,8
0,30,38
1,40,42
0,63,62
0,9,6
0,82,87
0,92,91
0,37,40
0,76,80
0,97,103
0,27,27
0,45,50
0,49,54
0,49,54
0,56,43
0,32,19
0,40,26
0,37,41
1,22,28
1,81,77
1,21,29
1,42,56
0,44,51
0,72,77
0,96,98
1,41,50
0,82,98
0,29,40
1,21,18
0,107,106
0,8,11
0,79,82
1,64,62
1,50,48
0,63,71
0,75,89
0,6,8
1,12,6
0,21,17
0,81,71
1,49,44
0,72,63
0,24,17
1,68,77
0,69,79
1,85,85
0,25,33
1,84,83
1,6,4
0,17,19
1,39,40
0,53,69
1,21,16
0,6,8
0,32,38
1,74,84
1,12,14
0,66,59
0,39,37
1,51,40
0,79,81
1,21,16
0,55,39
0,9,12
0,65,77
1,35,43
0,39,44
0,48,53
1,62,68
1,93,80
1,106,109
0,106,110
0,109,103
1,41,31
1,59,44
1,54,49
0,26,22
0,29,24
0,51,57
1,60,67
0,73,75
0,0,10
1,49,73
1,64,79
0,67,61
0,28,25
0,69,67
0,94,101
0,27,19
0,35,30
0,70,81
0,85,73
0,71,59
0,68,74
1,78,80
0,18,23
0,84,92
1,10,5
0,73,76
0,8,11
0,73,68
0,65,62
0,97,102
0,29,25
0,55,37
0,58,67
1,13,12
1,58,70
0,79,86
1,95,104
1,9,10
0,60,69
0,35,40
0,57,59
0,86,86
1,18,26
0,29,37
0,39,49
0,54,60
0,56,65
0,12,11
1,19,13
1,33,41
1,51,51
0,55,55
0,83,79
1,53,55
1,64,61
0,15,11
0,69,68
1,104,100
1,63,69
0,65,73
0,69,82
0,80,101
1,34,38
1,47,56
0,18,21
0,48,42
0,52,46
0,18,19
1,83,86
0,84,90
0,91,95
0,49,56
1,55,67
0,92,97
0,43,55
1,52,61
0,52,63
0,57,60
1,70,65
0,84,76
1,40,40
0,8,13
0,20,29
0,24,39
0,42,42
0,44,52
0,79,82
0,108,122
0,2,10
0,46,57
0,19,9
0,51,38
0,62,57
0,0,0
1,33,27
0,41,43
0,25,19
1,26,23
0,82,86
1,88,96
1,52,47
0,75,82
0,6,18
0,19,29
0,46,52
1,67,69
1,61,66
0,6,9
0,64,51
0,13,13
0,68,64
0,71,69
1,28,30
0,67,62
0,74,71
0,18,16
0,38,30
1,50,32
0,32,40
1,78,71
1,49,52
0,51,54
1,95,91
0,13,4
1,29,16
0,52,38
1,76,53
0,26,23
1,87,85
0,93,97
0,78,83
1,113,114
0,81,73
0,2,5
1,28,26
0,43,40
0,63,60
0,93,84
1,62,43
1,80,69
0,18,23
0,4,9
1,45,26
0,63,39
0,74,49
1,18,12
0,94,85
1,6,2
0,10,8
1,18,16
0,81,88
1,18,11
1,44,49
0,70,87
0,19,24
1,35,37
0,90,97
1,3,0
1,21,17
0,25,17
0,102,90
0,28,27
0,61,50
0,112,101
1,35,37
1,21,23
1,32,27
0,90,87
1,25,25
1,69,67
1,56,57
0,111,112
1,5,4
1,77,70
1,98,88
1,109,96
0,109,103
1,58,45
1,91,58
1,105,72
0,24,21
0,61,65
0,32,44
0,79,77
0,71,84
0,7,7
1,35,37
1,100,76
1,103,79
0,21,31
0,28,36
0,45,57
1,74,78
1,82,83
0,28,37
0,41,52
0,45,54
1,107,111
0,31,25
0,111,96
1,41,34
1,84,68
1,92,71
0,94,86
1,105,92
0,2,4
1,84,88
1,87,88
0,91,92
1,10,8
0,48,38
0,104,92
0,20,14
0,59,45
1,93,83
0,0,4
1,16,36
0,51,71
0,91,99
0,46,53
1,78,71
0,112,102
0,27,20
1,139,134
0,9,14
0,6,4
1,51,44
0,51,48
0,25,21
1,108,105
0,86,73
0,22,24
0,51,61
0,75,90
0,90,94
0,35,44
0,57,71
0,67,78
1,21,20
0,33,46
1,114,111
0,7,4
0,19,18
0,92,86
1,16,15
1,21,18
0,33,22
0,109,107
0,14,31
0,101,119
0,70,64
1,87,82
0,90,89
0,40,42
0,77,70
0,30,18
1,44,25
0,62,49
1,65,51
1,88,75
1,91,77
0,0,0
0,71,76
0,73,80
0,97,110
1,6,5
0,16,18
1,75,74
1,61,76
0,72,92
0,12,11
0,18,32
0,40,50
0,55,79
0,21,23
0,52,49
0,52,49
0,88,85
1,86,74
0,92,81
0,28,26
0,64,58
1,68,71
0,72,77
0,8,10
0,19,17
0,46,53
1,78,83
0,78,83
0,37,40
0,46,42
1,49,44
1,60,55
0,8,11
0,36,42
0,53,49
0,66,61
0,8,19
1,27,19
0,64,63
0,67,71
0,0,0
0,36,32
1,66,64
0,92,91
0,100,87
0,79,69
1,106,89
0,14,10
0,74,71
0,89,89
1,21,16
0,21,19
0,11,6
0,25,27
0,75,78
1,13,20
1,63,63
0,74,70
0,118,121
0,118,123
1,79,73
1,25,32
0,61,58
1,103,103
0,52,56
1,7,2
0,68,71
1,51,58
0,24,21
0,2,2
1,101,86
1,26,15
0,36,45
1,59,68
1,94,84
0,33,30
1,85,75
0,98,90
1,47,59
0,50,71
0,12,21
0,66,69
1,81,84
0,6,6
0,87,90
0,97,100
1,72,82
0,72,84
0,84,78
0,76,84
1,28,24
0,89,76
1,41,48
0,62,64
1,82,79
0,16,22
0,21,24
1,29,26
1,27,21
0,73,71
1,47,55
1,60,63
0,100,104
1,103,106
0,5,4
0,60,63
0,46,53
0,55,62
0,58,80
0,15,15
0,19,22
0,10,10
1,40,41
1,75,79
0,79,83
0,70,67
0,5,19
0,7,20
1,52,55
0,89,87
0,49,52
1,13,13
0,26,19
0,50,64
0,56,66
0,21,14
0,31,37
0,44,39
1,51,39
1,33,34
0,76,73
0,88,95
1,35,24
0,39,31
0,56,55
0,98,90
1,32,44
0,39,50
1,22,11
0,52,55
0,4,2
1,11,9
1,16,15
1,91,94
0,55,53
0,6,7
1,24,30
0,8,4
1,17,13
0,44,58
0,48,64
0,102,94
1,76,86
1,22,21
0,97,105
0,85,91
1,19,20
1,53,67
1,79,89
1,94,99
1,3,2
0,5,6
1,13,6
0,43,43
0,78,77
0,10,17
0,4,2
1,44,52
0,81,100
0,57,76
1,20,29
0,63,80
0,87,91
0,16,22
0,43,57
0,76,100
0,91,116
1,11,12
0,86,93
0,78,92
0,4,5
0,6,20
0,75,77
0,79,82
0,30,33
1,42,45
1,98,85
1,25,23
1,79,71
0,19,28
0,80,81
0,80,81
1,27,35
0,32,39
0,43,47
1,24,21
0,60,48
0,23,25
0,66,65
1,80,70
0,22,23
