Outcome..1.if.made..0.otherwise.,Team_Score,Opponent_Score
0,96,86
0,58,72
0,108,80
0,71,99
0,79,111
0,85,86
0,31,48
0,80,92
1,89,99
0,115,123
1,91,93
0,7,5
1,61,53
0,19,14
0,48,65
1,23,22
1,44,40
1,88,93
0,55,39
0,57,39
1,86,72
1,14,20
1,53,56
0,55,64
1,22,24
0,22,30
0,46,57
0,55,73
1,16,19
0,0,0
0,94,116
0,2,4
0,73,79
1,47,51
1,6,12
0,0,0
0,19,24
1,72,86
1,2,0
0,34,40
0,69,84
1,11,8
0,73,66
1,78,66
1,69,63
1,71,63
0,39,39
0,43,45
0,51,50
1,59,62
0,73,53
0,90,85
1,103,102
0,80,92
1,110,116
1,9,14
0,58,56
1,66,77
0,71,63
1,17,20
1,24,34
1,52,58
1,54,60
0,81,91
0,11,12
0,33,37
0,71,79
0,67,78
0,21,23
0,67,84
0,59,69
1,64,74
0,10,12
1,41,38
1,100,82
1,15,29
1,39,47
0,39,49
1,43,53
1,80,90
0,65,67
0,68,74
0,70,51
0,84,66
0,8,7
0,40,54
1,47,58
0,4,2
0,51,39
1,74,76
0,2,0
1,21,22
1,33,37
0,20,29
0,40,49
1,68,69
1,7,4
0,23,26
1,73,63
0,48,29
1,70,55
1,37,51
0,74,82
1,58,52
0,102,98
0,109,113
1,12,16
1,14,16
1,70,67
1,41,57
0,51,72
0,2,4
0,18,27
0,60,60
0,18,18
1,44,32
1,48,36
0,74,77
0,99,98
0,8,7
1,67,60
0,16,24
0,70,69
0,88,82
0,27,21
0,65,64
0,76,72
1,85,86
1,50,51
0,22,20
1,31,26
0,69,68
0,44,55
0,49,61
1,2,0
0,57,59
0,61,64
0,28,34
0,68,74
0,10,7
0,64,55
1,72,63
0,37,55
0,25,24
0,0,0
1,65,49
0,65,54
0,34,47
1,50,51
0,50,51
0,54,63
1,9,8
0,30,42
1,93,98
1,8,9
1,2,8
0,12,17
0,18,27
0,58,71
1,80,87
0,88,90
1,2,0
1,26,24
1,45,33
1,103,94
0,4,7
1,16,21
0,24,26
0,73,62
0,0,4
1,7,6
0,9,10
0,94,102
0,7,7
0,21,24
0,25,54
1,43,72
0,20,21
1,24,25
0,47,42
0,103,86
0,11,11
1,52,34
0,60,42
1,8,6
1,99,113
0,15,20
1,17,20
0,85,72
1,115,107
0,105,104
1,34,31
1,96,95
1,58,53
0,58,55
0,73,78
0,81,80
0,23,25
0,95,92
1,52,55
0,57,63
1,80,92
1,28,22
0,13,13
1,25,26
0,5,4
0,2,5
0,31,20
0,82,65
0,91,87
1,49,51
0,93,104
0,0,0
0,73,89
0,73,93
0,48,41
1,25,24
0,71,78
0,90,95
0,2,2
1,72,78
1,89,91
0,106,117
0,69,57
1,6,6
0,76,81
0,12,5
1,59,50
0,66,63
0,99,104
1,69,75
0,89,91
0,19,13
0,30,35
0,35,41
0,45,63
0,45,45
1,17,16
0,17,18
1,31,31
1,8,8
0,10,16
0,21,34
0,4,4
0,5,17
0,10,27
0,33,44
0,37,46
1,58,59
0,78,86
0,13,12
0,15,16
0,19,24
1,38,57
0,25,41
1,7,0
1,30,12
1,72,63
0,72,65
0,48,68
0,58,77
0,12,12
0,43,67
0,43,69
0,85,84
0,87,91
0,26,28
1,52,69
0,58,75
0,78,100
0,62,62
1,71,67
1,83,77
0,83,77
1,88,78
0,32,34
0,20,17
1,44,32
0,51,38
0,102,102
0,8,10
0,22,18
1,39,37
0,42,42
1,46,47
0,53,47
0,53,47
1,57,47
1,39,32
1,65,60
0,65,60
0,2,4
1,4,6
1,13,15
1,55,60
0,55,60
1,57,64
1,81,91
0,0,2
0,4,6
0,10,12
0,25,40
1,38,44
0,46,57
1,56,65
0,76,88
1,50,42
0,8,7
0,33,43
1,91,86
1,103,106
1,2,0
1,4,2
0,20,23
0,41,44
0,90,84
0,105,99
0,0,2
1,28,30
0,2,5
0,40,55
0,9,13
0,48,48
1,85,92
0,90,98
0,39,52
0,25,24
0,31,26
0,93,95
0,5,0
1,10,10
0,20,20
1,21,24
1,41,44
1,79,75
0,20,19
0,70,59
0,67,63
1,73,73
0,63,64
0,19,20
1,27,23
1,51,45
0,57,56
0,9,11
0,27,33
0,54,62
0,56,68
1,67,84
0,20,16
0,30,28
0,70,80
0,10,9
0,15,13
1,96,84
1,8,7
1,37,34
1,28,27
0,32,36
0,66,72
1,78,86
1,13,11
1,20,19
0,30,31
0,61,48
1,2,4
1,16,19
0,18,21
1,67,77
0,25,16
0,26,22
1,81,64
0,14,14
0,27,39
1,2,0
1,60,58
1,89,84
0,49,59
0,79,90
1,11,8
1,71,78
0,18,18
1,33,37
0,56,40
1,5,5
0,64,65
0,72,78
0,0,0
1,6,9
1,13,15
0,22,21
1,2,0
0,64,69
1,98,88
0,4,10
0,48,47
1,65,67
1,42,50
0,23,17
0,70,66
0,93,74
1,19,26
0,19,28
0,12,20
1,39,40
0,53,52
0,62,56
0,20,13
1,51,43
1,14,12
0,89,113
0,11,8
1,21,17
1,29,36
0,29,42
1,41,50
0,70,85
1,33,38
0,6,6
1,2,5
1,79,79
0,21,28
1,58,54
1,61,62
0,63,67
1,63,63
1,65,65
0,69,65
0,77,68
0,6,2
0,43,56
1,75,81
0,90,97
0,25,33
0,25,35
0,48,54
0,68,64
1,2,2
0,8,12
1,25,26
0,59,76
1,6,6
0,11,12
0,24,18
0,50,46
0,50,46
1,56,49
0,60,55
0,62,60
0,76,75
1,32,36
1,53,60
0,56,50
1,58,50
0,66,61
0,66,61
0,89,83
1,53,44
1,95,93
0,4,6
1,47,40
1,17,31
0,82,91
1,96,95
0,18,26
1,22,29
0,44,63
0,66,76
1,73,89
1,54,58
0,62,69
1,25,42
1,78,76
1,23,6
1,62,44
0,77,62
0,9,8
1,67,63
1,107,101
1,14,8
1,41,43
0,0,4
0,55,77
1,54,53
0,57,58
0,94,99
1,10,2
1,23,10
0,23,10
0,64,73
1,75,93
1,2,2
0,87,77
1,48,27
0,89,71
0,94,81
0,92,82
0,102,92
1,19,19
0,30,33
1,38,45
0,68,74
0,69,76
0,73,78
1,84,85
1,35,42
0,59,66
0,25,37
1,56,59
0,32,32
1,28,25
0,43,35
1,49,44
0,64,63
0,31,33
0,65,61
0,67,64
1,77,74
0,15,21
1,60,55
0,28,35
0,77,90
0,13,12
0,39,46
0,60,69
1,35,40
0,53,57
0,39,51
0,39,51
0,62,71
0,46,41
1,101,100
1,4,6
1,30,39
1,37,42
0,37,45
0,43,48
0,11,11
1,59,57
1,93,89
1,6,9
0,20,23
1,60,55
1,69,65
0,73,72
0,35,32
0,65,64
0,8,4
1,44,34
0,64,69
1,73,76
1,9,10
0,9,10
0,45,41
0,50,63
1,52,67
1,69,79
1,75,81
0,15,21
1,32,38
0,72,77
1,88,88
0,42,40
0,61,63
1,104,100
0,16,22
1,28,39
1,30,39
1,45,52
0,2,0
0,7,10
1,9,12
0,50,50
1,97,94
0,99,98
1,25,31
1,31,42
0,33,46
0,46,60
0,82,100
1,17,11
0,39,38
0,11,11
1,17,18
0,18,22
0,5,4
0,18,22
1,25,35
0,81,91
1,37,39
0,60,53
1,88,80
0,7,9
0,11,13
1,65,60
0,70,68
0,89,83
1,103,99
1,4,3
1,23,19
0,44,43
1,67,55
0,8,12
0,0,0
0,4,10
0,14,12
1,34,23
1,47,34
0,47,39
0,73,62
1,92,84
1,108,92
1,17,12
1,29,22
0,29,24
0,31,26
0,61,62
0,64,73
0,0,2
1,15,25
1,39,39
0,72,79
0,77,81
0,85,87
0,14,25
0,33,36
0,42,50
0,57,69
0,60,69
0,71,75
1,28,25
1,33,30
1,73,66
0,73,66
0,93,86
1,97,94
1,54,48
0,80,65
1,2,0
0,112,117
0,42,29
0,4,6
0,6,6
0,20,14
0,54,45
1,56,49
0,66,62
0,92,75
0,4,7
1,15,15
0,15,17
0,50,55
1,87,84
0,9,5
1,19,21
0,23,27
1,61,57
0,65,60
0,69,64
0,74,73
0,7,7
0,22,24
0,61,50
1,12,8
1,69,57
0,74,64
0,74,73
1,47,51
0,58,66
1,70,74
0,72,76
0,85,88
0,96,99
0,0,10
1,19,36
1,49,43
0,70,63
1,73,69
1,39,31
0,42,35
1,59,59
0,44,34
0,74,79
1,92,90
0,0,4
1,21,27
1,84,86
0,96,99
0,99,103
0,91,84
0,8,9
1,99,96
1,106,105
1,13,13
0,39,37
0,65,67
1,72,71
0,112,112
1,21,22
0,83,69
1,109,84
1,39,35
1,104,94
1,2,0
1,86,76
1,91,81
0,44,42
1,61,73
0,86,98
1,40,22
0,51,34
0,98,90
1,6,9
0,20,27
0,31,31
0,41,41
0,27,23
0,27,25
0,56,50
0,63,54
0,53,39
0,0,0
1,4,3
0,31,37
0,46,52
0,52,66
1,2,2
0,36,24
1,58,57
1,83,80
0,63,70
0,91,101
0,13,9
1,24,14
0,61,71
1,17,20
0,28,35
0,80,86
0,29,28
0,36,39
0,51,52
1,59,67
1,15,12
1,39,34
1,54,48
0,59,52
0,87,93
0,87,95
1,63,51
1,67,53
1,92,77
1,100,87
1,102,88
0,11,10
0,0,2
0,39,57
0,76,91
1,6,4
0,6,4
1,60,50
1,77,74
0,46,55
0,54,63
1,80,76
1,111,113
1,2,2
0,74,71
0,101,97
0,111,112
0,111,112
0,53,54
0,73,79
0,8,6
0,50,48
1,87,78
1,8,12
1,83,81
0,33,26
0,38,33
1,62,47
0,4,2
0,59,51
0,59,55
0,82,91
0,91,95
1,96,97
0,5,17
0,46,53
0,77,77
0,13,16
0,41,48
1,47,54
0,69,77
0,13,14
1,40,33
0,48,47
0,89,94
1,51,50
1,77,65
1,21,17
1,53,51
0,60,64
0,0,3
0,0,3
0,18,30
0,18,31
0,71,72
0,71,75
0,2,2
0,18,28
1,15,13
0,63,67
0,73,80
0,30,24
0,50,46
1,70,66
0,87,83
1,61,59
0,74,70
1,86,74
0,103,94
1,105,94
0,114,106
1,2,0
0,10,13
0,26,34
1,9,8
1,53,35
0,57,38
1,96,76
0,98,81
1,102,92
0,108,90
