Outcome..1.if.made..0.otherwise.,Team_Score,Opponent_Score
1,9,0
1,20,4
1,52,32
1,2,2
1,20,13
0,46,37
0,70,52
0,2,3
1,34,40
1,44,53
1,5,8
1,42,27
1,10,8
0,43,31
0,56,39
0,2,0
0,14,10
1,63,61
0,63,66
0,10,11
0,55,43
0,64,52
1,10,7
0,10,9
0,11,15
0,72,74
1,13,5
1,24,28
1,52,55
1,52,47
1,25,47
1,42,64
0,57,76
0,75,95
1,35,32
1,37,32
1,42,49
0,55,55
0,55,57
0,68,63
0,96,87
0,5,11
1,7,13
0,39,45
0,39,45
0,50,60
0,15,16
0,53,50
1,15,25
1,50,57
1,56,61
0,58,65
0,0,3
0,2,9
1,12,19
1,27,31
0,34,35
0,34,39
0,34,39
1,58,56
0,73,71
0,88,81
0,41,46
1,13,14
0,20,31
1,17,7
0,17,23
1,61,65
0,93,94
0,40,35
0,40,37
0,24,21
0,26,27
1,102,89
0,29,32
1,42,46
1,80,74
0,86,80
0,90,87
0,93,94
0,2,4
1,4,7
1,4,3
1,25,24
1,37,43
1,49,66
0,4,19
1,36,50
0,36,50
1,41,54
0,60,64
1,72,72
0,75,74
0,81,78
0,26,13
1,28,17
1,93,84
0,114,113
0,0,0
1,24,24
0,75,68
0,87,87
1,92,97
0,92,101
0,19,18
1,65,75
0,44,38
0,47,40
1,85,69
0,46,55
0,79,83
0,94,92
0,0,10
1,4,14
0,6,16
1,78,100
1,47,55
1,26,22
0,56,59
1,71,69
0,2,7
1,18,21
1,62,86
0,52,77
0,38,57
0,35,42
1,7,14
0,18,35
1,50,75
1,23,16
0,74,67
0,78,73
1,6,7
0,8,11
1,44,47
1,57,54
1,14,19
1,51,50
0,51,56
0,64,68
0,24,23
1,46,37
0,51,41
1,5,4
1,23,20
0,54,51
0,72,60
0,75,66
0,6,11
1,60,55
1,69,63
0,0,0
0,47,49
1,79,90
0,40,37
0,81,93
0,2,4
1,8,6
0,34,41
0,46,64
0,69,77
0,73,77
0,59,65
1,78,85
0,102,102
0,8,10
1,18,21
0,43,43
1,2,0
0,4,0
0,53,61
0,81,91
1,20,17
0,20,19
1,2,0
0,21,22
1,44,47
1,48,52
1,66,61
0,87,84
1,14,12
1,61,57
0,14,15
0,47,62
1,16,23
1,2,2
1,16,7
0,32,36
1,49,50
1,54,60
0,66,72
0,16,21
0,46,36
0,52,47
1,59,56
0,61,58
1,66,64
0,87,85
1,24,30
1,44,47
0,57,64
0,8,14
0,20,27
0,26,37
1,14,21
0,23,36
1,41,55
1,45,57
0,48,62
0,50,62
0,2,4
1,31,44
1,36,35
1,38,35
1,42,40
0,89,102
1,6,4
1,31,21
1,33,23
1,86,64
1,16,17
1,20,23
0,51,53
1,59,69
0,69,79
0,10,12
1,12,14
1,23,24
1,75,67
0,33,42
0,45,51
0,53,67
0,53,69
0,14,18
0,14,21
1,47,51
1,51,54
1,56,55
0,63,62
1,2,9
0,21,17
0,33,36
0,6,12
1,23,27
0,62,52
0,69,73
1,83,84
0,87,90
0,57,57
0,2,2
0,4,4
0,12,17
1,25,34
0,88,72
0,88,74
0,53,58
1,66,66
1,15,17
0,56,49
1,2,2
0,8,13
0,80,81
0,82,81
1,2,4
0,73,42
0,2,4
0,14,3
1,25,13
1,27,17
1,30,19
0,68,51
0,4,4
0,94,88
1,82,73
0,82,75
1,41,57
0,96,97
0,102,99
0,15,11
1,42,36
1,44,40
0,50,39
1,67,64
1,69,64
0,49,57
0,55,68
1,72,70
0,0,0
0,0,2
0,4,5
0,101,110
0,43,45
1,10,11
0,19,19
1,24,26
0,58,57
0,0,0
0,10,18
0,10,18
1,51,46
1,77,68
1,81,73
0,81,76
0,100,99
1,30,41
1,48,67
1,50,67
0,15,31
