Outcome..1.if.made..0.otherwise.,Team_Score,Opponent_Score
0,56,60
0,73,75
0,92,95
1,76,76
0,76,82
0,86,91
0,50,68
0,91,97
0,27,32
0,28,27
0,30,30
0,81,91
0,8,9
1,95,97
0,39,40
0,80,85
0,53,49
0,86,93
1,97,98
0,20,32
0,46,70
1,79,79
0,33,51
0,65,64
1,28,24
0,89,86
0,68,51
1,37,28
1,5,8
1,54,40
0,31,32
0,4,4
0,79,80
0,15,21
0,82,89
0,54,50
1,83,89
0,84,72
1,39,28
0,81,84
0,75,72
1,63,78
0,17,17
0,96,102
0,53,52
0,9,9
1,38,42
0,53,48
1,54,48
1,42,49
1,102,107
0,49,60
0,49,57
1,54,33
0,77,93
0,46,64
0,84,102
0,0,0
0,45,39
0,41,32
0,97,87
0,6,0
1,71,78
0,28,23
1,95,102
0,73,73
0,51,54
0,14,11
0,20,15
0,8,9
0,38,32
0,62,51
1,39,39
0,22,33
0,72,86
1,17,24
1,17,19
0,50,52
0,46,46
1,45,51
0,85,88
0,12,8
0,18,20
0,41,44
0,51,58
0,86,98
0,32,28
0,77,88
0,50,57
1,86,87
0,82,95
0,75,82
0,21,33
0,40,36
0,38,33
0,85,95
0,12,22
0,89,85
0,13,18
0,73,87
0,2,2
1,75,97
0,58,94
0,56,86
1,86,97
1,87,96
1,10,13
1,59,81
0,73,80
1,84,94
0,110,81
1,77,95
0,85,93
1,73,95
1,101,118
0,65,77
0,39,37
0,68,82
0,51,47
0,78,87
1,101,114
0,58,42
1,96,80
0,63,49
0,79,68
0,19,21
0,75,82
0,72,72
0,43,41
0,25,22
1,15,7
0,59,48
0,0,1
0,77,84
0,93,113
0,59,52
1,53,53
0,104,115
0,72,63
0,73,78
0,90,99
1,96,100
1,67,91
1,15,9
1,30,19
0,64,49
0,94,94
1,64,73
0,75,86
0,98,93
0,77,91
0,35,54
0,73,89
1,110,118
1,77,71
0,68,61
0,92,86
0,65,70
0,11,16
0,68,50
0,103,95
1,18,11
0,93,97
0,77,89
1,49,51
0,38,38
0,69,64
0,96,106
0,86,94
0,32,34
0,2,0
1,69,76
0,24,28
1,112,113
0,85,72
1,47,59
0,55,76
0,98,107
0,56,72
1,5,4
0,58,60
1,77,52
0,53,53
0,44,70
0,17,17
0,21,21
0,51,52
1,100,100
0,91,89
0,8,7
0,65,65
1,91,85
1,86,94
1,89,96
0,89,96
0,61,48
0,8,8
1,58,77
0,0,0
0,77,70
0,61,75
0,61,64
0,27,15
1,101,88
0,56,56
0,94,106
1,93,93
1,11,2
0,4,6
1,98,85
0,39,62
0,63,63
0,46,42
0,73,85
0,47,50
0,116,132
1,70,85
1,17,33
0,63,62
1,12,6
1,61,35
0,63,39
0,23,21
0,90,95
1,96,102
0,56,50
1,102,101
1,32,39
0,43,44
0,41,44
0,45,27
0,64,34
1,33,30
0,52,37
1,88,79
0,88,70
0,8,19
1,42,44
0,79,72
0,37,28
0,12,13
0,45,44
1,60,61
0,39,29
1,17,15
0,104,92
0,12,13
0,42,52
1,41,53
1,17,19
0,70,66
0,72,74
0,73,83
0,5,13
1,102,92
0,22,17
0,79,63
0,93,93
0,64,40
0,84,66
0,4,1
0,55,69
1,7,2
1,72,67
0,52,55
1,67,59
0,30,29
1,57,64
0,60,60
0,87,98
0,12,13
0,0,0
0,82,89
1,21,21
0,84,96
0,51,51
0,91,96
1,7,2
1,59,47
0,70,74
0,50,47
1,95,82
0,64,57
0,84,69
0,86,87
0,17,13
0,6,4
0,49,42
1,102,97
0,48,52
0,68,61
1,13,12
1,54,47
0,17,19
0,8,7
0,74,78
1,77,80
1,80,80
0,98,90
1,108,105
0,108,110
1,69,75
0,40,40
0,36,46
0,69,67
0,22,33
0,31,33
1,90,92
1,77,71
1,105,100
1,68,58
0,35,27
1,38,27
0,96,83
1,49,45
0,57,57
0,18,30
0,36,40
1,63,82
0,72,61
1,87,84
1,41,31
0,16,18
0,74,73
1,9,10
0,27,43
1,92,92
1,67,61
0,45,39
0,71,71
0,72,73
0,77,80
1,44,53
0,6,10
1,56,54
1,69,64
1,13,14
1,56,44
1,59,44
0,53,40
0,8,23
1,3,0
1,66,69
1,92,95
1,98,102
0,37,39
0,4,4
0,79,78
0,44,37
0,79,62
1,113,104
0,87,91
0,44,50
1,13,10
1,17,13
1,80,74
0,87,85
0,84,88
0,86,90
0,94,95
0,25,25
1,65,71
0,96,98
0,61,59
0,32,42
0,29,31
1,55,57
0,80,82
1,85,87
0,51,52
0,62,70
1,56,60
1,85,80
0,28,29
0,56,58
0,75,65
0,23,24
1,85,78
0,80,88
0,63,67
0,114,116
0,97,85
0,72,56
0,21,16
0,16,12
1,69,46
1,109,108
0,24,21
1,90,90
0,98,100
1,101,101
0,0,0
0,91,95
1,7,9
0,48,53
0,97,81
1,48,42
1,67,75
0,23,23
0,10,2
0,78,64
0,47,60
0,4,4
1,13,15
1,62,66
0,110,109
0,84,85
0,67,69
1,19,15
0,44,36
1,113,122
0,86,89
0,84,72
0,89,90
0,17,23
0,33,25
0,73,63
1,94,85
0,9,23
1,55,53
0,15,13
0,83,93
0,0,6
0,108,102
1,4,6
0,8,6
0,56,53
1,66,81
1,72,83
0,10,6
1,68,68
0,62,73
0,78,91
0,72,73
0,72,70
1,43,34
0,7,9
0,59,59
1,47,47
0,50,67
0,50,67
0,41,44
0,75,67
0,79,77
1,69,72
1,18,10
0,70,77
0,67,73
0,35,38
0,67,53
1,55,52
0,56,52
0,76,72
0,11,28
0,81,85
1,89,87
0,87,86
0,87,81
1,40,21
0,68,48
0,32,27
1,87,66
0,80,60
0,62,68
0,26,21
0,20,18
0,84,65
0,43,51
0,25,29
0,72,65
0,61,71
0,47,32
0,93,97
0,97,97
1,77,70
0,79,86
0,50,48
1,73,63
0,55,54
0,63,43
0,14,22
0,111,119
0,0,0
0,76,83
0,60,57
0,54,49
1,56,51
0,63,68
0,51,33
1,26,15
0,49,39
1,52,53
0,103,90
0,78,78
0,71,85
1,74,77
0,66,72
1,55,52
0,52,46
0,62,66
