Outcome..1.if.made..0.otherwise.,Team_Score,Opponent_Score
1,36,18
1,58,42
0,62,49
1,64,52
0,65,63
0,88,75
0,16,16
0,18,20
1,29,30
0,60,75
1,89,96
1,48,36
0,56,41
1,46,38
0,69,73
1,57,43
1,64,50
0,64,57
0,11,15
0,65,65
1,67,67
0,69,67
0,58,69
0,59,61
0,65,67
0,6,13
0,60,78
0,0,0
0,15,20
1,34,37
0,8,6
1,71,71
1,36,45
1,58,61
1,65,67
1,71,72
0,8,11
1,12,8
0,54,53
1,56,53
0,88,81
0,0,0
0,59,50
0,17,11
0,20,18
1,35,45
0,0,0
1,9,10
0,114,100
1,36,40
1,62,61
0,22,23
1,27,26
1,31,34
1,4,17
1,62,66
0,90,90
1,95,98
1,30,20
0,32,22
1,42,29
0,83,67
0,23,33
0,27,37
0,58,87
1,9,10
1,56,59
1,60,63
0,87,87
1,28,26
0,32,29
0,0,2
0,59,65
1,77,77
0,18,42
0,32,45
0,65,65
1,69,65
1,88,89
1,8,13
0,67,91
0,28,48
1,43,67
1,4,4
0,8,6
1,18,19
1,55,69
0,10,20
0,14,28
1,36,55
1,82,74
1,86,76
0,45,57
0,2,8
0,39,65
0,46,69
0,83,93
1,9,6
1,52,47
0,85,75
0,8,13
0,82,91
0,21,27
0,33,37
0,0,0
0,18,16
0,55,45
0,59,51
1,72,65
0,79,73
0,83,79
0,83,80
1,12,8
0,10,15
1,56,53
1,88,84
1,38,32
0,48,45
0,72,56
1,42,37
0,55,66
1,61,68
0,66,70
1,14,14
1,56,69
1,30,44
1,51,57
0,53,63
1,44,40
1,49,45
0,57,52
0,67,73
1,16,15
0,28,31
1,38,38
0,0,0
0,28,30
1,45,49
1,6,4
0,28,44
0,28,32
1,57,61
0,41,53
0,5,9
0,9,13
0,42,68
0,14,17
1,64,69
1,89,100
1,60,39
0,60,39
1,67,41
0,80,60
1,82,62
0,0,4
0,32,32
1,51,52
0,71,90
1,25,26
0,36,39
0,48,43
0,63,53
1,9,9
0,49,61
0,53,71
1,55,71
1,10,9
1,49,51
0,97,98
0,2,11
1,15,24
0,39,58
1,2,0
1,53,37
1,85,86
1,87,86
0,7,10
0,57,59
0,66,70
0,66,72
0,93,108
1,58,56
1,60,58
0,60,58
0,82,69
0,24,21
1,32,30
1,53,58
0,53,59
0,53,62
0,53,62
1,72,71
0,78,81
0,39,39
0,6,1
0,49,59
0,37,43
0,37,45
0,65,63
1,69,70
0,29,35
0,27,27
0,41,50
0,34,22
1,36,25
0,38,29
0,89,82
0,91,81
0,24,29
1,29,33
1,43,37
0,43,37
1,63,52
0,10,19
0,12,23
1,14,23
0,0,2
0,0,2
1,11,11
0,48,53
0,6,6
0,11,11
1,22,18
0,59,62
0,13,16
1,62,61
1,12,30
0,13,19
1,48,49
0,27,30
0,81,75
0,28,37
0,33,47
1,54,72
1,6,8
0,44,46
1,50,54
0,2,2
1,16,8
1,56,53
0,68,70
0,9,17
1,11,19
0,66,80
0,24,26
1,70,74
1,25,32
1,85,94
1,2,1
0,4,5
0,47,44
1,82,78
1,15,11
0,58,55
0,86,84
0,97,103
1,10,18
0,20,32
1,4,0
0,21,35
1,29,37
1,35,40
1,37,42
0,35,33
0,39,37
0,31,39
1,79,84
1,16,19
0,69,85
0,49,46
1,59,59
0,10,15
0,16,25
0,17,10
0,11,17
0,16,19
1,2,2
1,18,14
0,61,44
1,97,98
1,85,71
1,28,21
